team,Team #1,Team #2,Team #3,Team #4,Team #5,Team #6,Team #7,Team #8,Team #9,Team #10,Team #11,Team #12,Team #13,Team #14,Team #15,Team #16
Team #1,0.5,0.6556746207707769,0.8478509537905425,0.8786597189375875,0.8946327069260013,0.9189982525441632,0.9264729545361184,0.9284989603825564,0.9290900953518473,0.9359467516998399,0.9410636800358047,0.9504039592725371,0.9586925559755503,0.9599370071225669,0.9671068077110586,0.9689677271191282
Team #2,0.3443253792292231,0.5,0.7453125721044627,0.791785426916157,0.8168101122665341,0.8562806705650248,0.8687160713475195,0.8721138643100655,0.8731074552569105,0.8847056189287283,0.8934499691626018,0.9096113346456223,0.9241733696075872,0.9263779032918155,0.9391729837021506,0.9425203209118559
Team #3,0.15214904620945746,0.25468742789553733,0.5,0.5651167174425487,0.6037504413074929,0.6706152915163902,0.6933626312317699,0.6997301143481153,0.7016047668432827,0.7239218751886101,0.7412947661458621,0.7747155069805869,0.8063840340939462,0.8113139202362868,0.8406669603013253,0.84856103361269
Team #4,0.12134028106241253,0.208214573083843,0.4348832825574513,0.5,0.5397067410743009,0.610404928340629,0.635047522755675,0.6420007109208573,0.6440524392652646,0.6686410150807841,0.6879932942270582,0.7257523373416165,0.7621909090022638,0.7679222001412376,0.8023812763990935,0.8117474292454718
Team #5,0.10536729307399868,0.18318988773346584,0.396249558692507,0.460293258925699,0.5,0.5719600264510186,0.5974305887027306,0.604654294864905,0.6067889669225246,0.6324827911866532,0.6528504228654484,0.692964444168764,0.7321516561271773,0.7383583878335508,0.775926252350705,0.7862121682217748
Team #6,0.08100174745583684,0.14371932943497515,0.32938470848360973,0.389595071659371,0.42803997354898143,0.5,0.526205480027126,0.533709730328864,0.535933468735024,0.5629222323757292,0.5846130739919561,0.6281206086436274,0.6716625609875302,0.6786557738763846,0.7215633743913309,0.7334876330096962
Team #7,0.07352704546388164,0.13128392865248045,0.30663736876823017,0.36495247724432506,0.4025694112972693,0.4737945199728741,0.5,0.5075308607386797,0.5097647688345068,0.5369605303020707,0.5589302644469945,0.6033024650410496,0.6481223952295856,0.6553597217683657,0.7000029014145667,0.7124825839082108
Team #8,0.07150103961744361,0.12788613568993448,0.30026988565188467,0.3579992890791427,0.39534570513509504,0.46629026967113596,0.49246913926132035,0.5,0.5022345653897885,0.5294624724445912,0.5514908092897851,0.5960705591578093,0.6412216593952355,0.64852394861131,0.6936386702876699,0.7062720098660007
Team #9,0.07090990464815278,0.12689254474308956,0.2983952331567174,0.3559475607347355,0.39321103307747535,0.464066531264976,0.4902352311654931,0.4977654346102115,0.5,0.5272350792300313,0.5492789239492316,0.5939166403426407,0.6391627558302458,0.6464838472524289,0.6917359601715083,0.7044143258622727
Team #10,0.06405324830016021,0.11529438107127164,0.27607812481138994,0.3313589849192159,0.36751720881334676,0.43707776762427075,0.4630394696979294,0.47053752755540873,0.4727649207699686,0.5,0.5221628249939619,0.567370853098816,0.613650670166571,0.6211825995513903,0.6680102412715656,0.681214710022538
Team #11,0.05893631996419532,0.1065500308373983,0.25870523385413796,0.3120067057729418,0.34714957713455163,0.41538692600804394,0.4410697355530055,0.44850919071021483,0.45072107605076833,0.477837175006038,0.5,0.5454796559735772,0.5924189923659811,0.6000950956681831,0.6480525594066575,0.6616487593539867
Team #12,0.04959604072746288,0.0903886653543777,0.22528449301941308,0.2742476626583835,0.30703555583123593,0.3718793913563726,0.3966975349589503,0.4039294408421908,0.4060833596573593,0.43262914690118415,0.4545203440264228,0.5,0.5477420102018798,0.5556283859903813,0.6054120199564254,0.6196887817942843
Team #13,0.041307444024449684,0.0758266303924127,0.19361596590605376,0.23780909099773612,0.26784834387282275,0.32833743901246976,0.35187760477041446,0.3587783406047646,0.36083724416975416,0.386349329833429,0.40758100763401894,0.4522579897981202,0.5,0.507971054241739,0.5588547756292745,0.5736297060633478
Team #14,0.040062992877433076,0.07362209670818463,0.1886860797637132,0.23207779985876245,0.2616416121664492,0.3213442261236153,0.34464027823163434,0.35147605138869004,0.35351615274757114,0.3788174004486097,0.3999049043318169,0.44437161400961855,0.49202894575826106,0.5,0.5509793861651031,0.5658131564675033
Team #15,0.03289319228894136,0.06082701629784929,0.15933303969867468,0.19761872360090646,0.22407374764929508,0.27843662560866905,0.2999970985854333,0.30636132971233004,0.3082640398284917,0.3319897587284344,0.3519474405933426,0.39458798004357465,0.44114522437072545,0.44902061383489694,0.5,0.5150355543166862
Team #16,0.031032272880871882,0.057479679088144144,0.15143896638731005,0.18825257075452814,0.2137878317782252,0.2665123669903038,0.2875174160917892,0.29372799013399936,0.29558567413772724,0.31878528997746197,0.33835124064601324,0.3803112182057157,0.4263702939366522,0.4341868435324967,0.48496444568331365,0.5
